ole_object_count,ole_object_type_count,macro_present,dde_present,vba_keywords_count,entropy,struct_ContentType,struct_PartName,file_size,struct_pos,struct_val,struct_typeface,struct_script,path_/w-p,path_w-r,path_/w-r,path_a-hlink,path_w-p,path_a-accent3,struct_ang,path_/a-effectLst,path_a-themeElements,struct_dist,path_a-alpha,struct_Extension,path_a-dk1,path_a-ln,path_/a-accent6,struct_w,struct_name,path_a-lt2,path_/a-outerShdw,path_a-accent4,path_/a-dk1,path_a-accent1,path_a-sysClr,path_a-lt1,path_/a-accent4,struct_{http://schemas.openxmlformats.org/wordprocessingml/2006/main}sz,path_a-solidFill,struct_{http://schemas.openxmlformats.org/wordprocessingml/2006/main}themeFill,struct_{http://schemas.openxmlformats.org/wordprocessingml/2006/main}csb1,struct_{http://schemas.openxmlformats.org/wordprocessingml/2006/main}styleId,label
26,3,1,0,2,5.683505239293167,0,0,228194,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
36,3,1,0,2,5.661987649054518,0,0,238247,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
21,3,1,0,2,5.086817041005697,4,2,146385,9,62,66,60,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
31,3,1,0,1,5.082642186151247,0,0,142951,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.389398776994582,14,11,37562,10,69,66,60,12.0,12.0,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.410482919565893,14,11,40359,10,69,66,60,17.0,17.0,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.712261392607401,0,0,245059,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
32,3,1,0,2,5.308603969472449,0,0,186368,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
31,3,1,0,2,5.247711971036472,0,0,161235,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
36,3,1,0,2,5.646445502482333,4,2,235514,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
29,3,1,0,2,5.476587252261406,0,0,178412,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
31,3,1,0,2,5.105381194868759,4,2,144885,9,62,66,60,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.387717896822544,14,11,36664,10,69,66,60,3.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
20,3,1,0,2,4.723475859935306,0,0,219416,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
29,3,1,0,2,5.658835768149295,0,0,198011,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
17,3,1,0,2,5.496916374031264,0,0,215216,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
37,3,1,0,2,5.507817499439945,0,0,177466,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.390130432751225,14,11,36925,10,69,66,60,6.0,6.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.409427007264211,14,11,40359,10,69,66,60,17.0,17.0,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.522572989556465,0,0,185624,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
20,3,1,0,2,4.791837986789251,4,2,158458,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
36,3,1,0,2,5.698532471549119,4,2,235225,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.392260149058153,14,11,37334,10,69,66,60,13.0,13.0,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
26,3,1,0,2,5.608222827643458,0,0,234723,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.401797363986219,14,11,39025,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.494104583824587,0,0,183493,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
20,3,1,0,2,4.554095184465188,0,0,199199,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
21,3,1,0,3,5.55538818312925,0,0,200875,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
26,3,1,0,2,4.815509867549464,0,0,165716,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.396790720340127,14,11,38797,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
20,3,1,0,2,4.799240591750848,4,2,159239,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.398319975124233,14,11,37582,10,69,66,60,4.0,4.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.484198540225379,0,0,177757,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
31,3,1,0,2,5.11884632128907,0,0,162816,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
17,3,1,0,2,5.491379485427164,0,0,213854,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.40903043387961,14,11,39130,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
20,3,1,0,2,5.037205136418221,0,0,230191,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
29,3,1,0,2,5.542037085294317,0,0,188012,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
29,3,1,0,2,5.685914307477003,4,2,234880,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.433822289883862,14,11,44885,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,0.0,324.0,0
21,3,1,0,1,5.463051806498602,4,2,173865,9,62,66,60,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.402780899831654,14,11,39405,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.406171826755005,14,11,39503,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
26,3,1,0,2,4.847988916191746,4,2,190120,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
26,3,1,0,2,4.853524823712492,4,2,191865,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.394666431794353,14,11,37627,10,69,66,60,24.0,24.0,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,0.0,324.0,0
0,0,0,1,0,6.268780113056013,10,8,14213,9,62,66,60,16.0,100.0,100.0,,17.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,4.0,4.0,0
0,0,0,1,0,7.396133369638061,14,11,38425,10,69,66,60,10.0,10.0,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
32,3,1,0,2,5.230336965861913,0,0,194048,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
20,3,1,0,2,5.19863058739831,4,2,249490,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
31,3,1,0,2,5.251579033009517,0,0,161854,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
21,3,1,0,2,5.231816456621203,0,0,248320,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.389860405743351,14,11,36658,10,69,66,60,3.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.407123100688821,14,11,40270,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.395107238892891,14,11,38220,10,69,66,60,6.0,6.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
20,3,1,0,2,5.364960431070338,4,2,161435,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.392904682288864,14,11,37737,10,69,66,60,14.0,14.0,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.673499924390674,0,0,239023,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
29,3,1,0,2,5.673451227739333,0,0,239309,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
20,3,1,0,2,4.909686349998184,4,2,156009,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
29,3,1,0,2,5.695269925131878,0,0,238977,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.407224532190146,14,11,40270,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.419994480368853,14,11,42547,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.390649347756254,14,11,36662,10,69,66,60,3.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
17,3,1,0,2,5.492709640790403,0,0,214359,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.40366707122495,14,11,39544,10,69,66,60,24.0,24.0,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
26,3,1,0,2,5.688648722059776,0,0,224961,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
21,3,1,0,3,5.298250987256897,0,0,294265,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.38719828326996,14,11,36663,10,69,66,60,3.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
17,2,1,0,1,5.662867814235003,0,0,224640,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
29,3,1,0,2,5.737494935342918,0,0,246715,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
36,3,1,0,2,5.708471242226801,0,0,236928,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
29,3,1,0,2,5.564842248999134,0,0,193957,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
21,3,1,0,2,5.339557713460984,0,0,166156,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.391428946445324,14,11,37091,10,69,66,60,6.0,6.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
20,3,1,0,1,4.602801422197728,4,2,175882,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
0,0,0,1,0,7.410573632672766,14,11,40156,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.391097419856439,14,11,36632,10,69,66,60,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.652640059750883,0,0,197306,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.404515777748854,14,11,40288,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.407425902612309,14,11,41339,10,69,66,60,31.0,31.0,31.0,,31.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
26,3,1,0,2,5.688693187781416,0,0,225119,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
36,3,1,0,2,5.719425851446141,4,2,235596,9,62,100,94,,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,,,,1
29,3,1,0,2,5.669586032959637,0,0,202656,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.393071536736977,14,11,37582,10,69,66,60,4.0,4.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.660550349843847,0,0,196366,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
0,0,0,1,0,7.40340853946603,14,11,39094,10,69,66,60,28.0,28.0,28.0,,28.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
0,0,0,1,0,7.38935560427674,14,11,36661,10,69,66,60,3.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,2200.0,,938.0,8.0,324.0,0
29,3,1,0,2,5.693983930516483,0,0,240964,0,0,0,0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1
